Stress [GPa],Temperature [K],Misorientation Angle [Â°],Time Average Velocity [Ang/ps]
0.75,700.0,90.0,1.6903
0.1,900.0,0.0,0.0691
0.1,700.0,109.5,0.3974
0.1,300.0,0.0,0.101
0.5,100.0,0.0,0.1691
0.5,500.0,109.5,1.5455
0.5,500.0,0.0,0.1913
0.5,100.0,109.5,1.431
0.1,300.0,109.5,0.4121
0.75,900.0,90.0,1.5673
0.1,700.0,0.0,0.0666
0.75,300.0,90.0,1.7568
0.1,900.0,109.5,0.357
0.5,100.0,90.0,1.6115
0.75,900.0,109.5,1.5758
0.1,300.0,90.0,0.4688
0.75,700.0,0.0,0.2954
0.1,900.0,90.0,0.3792
0.75,300.0,109.5,1.7326
0.75,300.0,0.0,0.2971
0.75,700.0,109.5,1.7016
0.75,900.0,0.0,0.3048
0.1,700.0,90.0,0.423
0.5,500.0,90.0,1.571
1.0,500.0,0.0,0.3064
1.0,100.0,109.5,1.6294
0.25,100.0,90.0,0.8993
0.25,500.0,90.0,0.8152
1.0,100.0,0.0,0.2871
1.0,500.0,109.5,1.7392
0.25,100.0,0.0,0.1302
0.25,500.0,109.5,0.8945
1.0,500.0,90.0,1.746
1.0,100.0,90.0,1.7762
0.25,500.0,0.0,0.1457
0.25,100.0,109.5,0.9714
0.5,900.0,0.0,0.2046
0.5,700.0,109.5,1.4964
0.5,300.0,0.0,0.1897
0.1,100.0,0.0,0.0809
0.1,500.0,109.5,0.4172
0.75,500.0,90.0,1.7399
0.75,100.0,90.0,1.7723
0.1,500.0,0.0,0.0676
0.1,100.0,109.5,0.3829
0.5,300.0,109.5,1.5403
0.5,700.0,0.0,0.1901
0.5,900.0,109.5,1.2996
0.75,100.0,109.5,1.6249
0.75,500.0,0.0,0.298
0.1,100.0,90.0,0.4678
0.5,300.0,90.0,1.5957
0.5,900.0,90.0,1.2917
0.5,700.0,90.0,1.4847
0.75,500.0,109.5,1.7359
0.75,100.0,0.0,0.2797
0.25,900.0,90.0,0.5682
0.25,300.0,90.0,0.8729
1.0,300.0,109.5,1.7357
1.0,700.0,0.0,0.3038
1.0,900.0,109.5,1.5853
1.0,900.0,0.0,0.3133
1.0,700.0,109.5,1.7051
1.0,300.0,0.0,0.3054
0.25,700.0,90.0,0.7048
1.0,700.0,90.0,1.6958
0.25,700.0,109.5,0.785
0.25,300.0,0.0,0.1516
0.25,900.0,0.0,0.1497
0.25,900.0,109.5,0.6189
0.25,300.0,109.5,1.0123
0.25,700.0,0.0,0.1438
1.0,300.0,90.0,1.7606
1.0,900.0,90.0,1.5785
